id,title,seller_id,price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,date_created,last_updated,start_time,stop_time
MLA1347076784,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,579983671,37799.0,ARS,186,1,150,new,2023-02-15T18:49:05.000Z,2023-08-06T02:18:45.000Z,2023-02-15T18:49:05.000Z,2043-02-10T04:00:00.000Z
MLA1338769755,Google Chromecast With Google Tv De Voz 4k 8gb Snow Con 2gb De Memoria Ram,439104803,49599.0,ARS,437,50,250,new,2023-02-07T16:52:58.000Z,2023-08-05T14:44:31.000Z,2023-02-07T16:52:58.000Z,2043-02-02T04:00:00.000Z
MLA1199951609,Google Chromecast With Google Tv De Voz 4k 8gb Sky Con 2gb De Memoria Ram,318494504,56399.0,ARS,487,1,250,new,2022-10-18T20:37:46.000Z,2023-08-05T22:57:40.000Z,2022-10-18T20:37:46.000Z,2042-10-13T04:00:00.000Z
MLA1120797274,Xiaomi Mi Tv Stick Mdz-24-aa - Negro - 8 Gb - 1 Gb - Control De Voz,703614652,37499.0,ARS,104,1,50,new,2022-01-26T17:10:39.000Z,2023-08-06T00:55:07.000Z,2022-01-26T17:10:38.000Z,2042-01-21T04:00:00.000Z
MLA1181845929,Xiaomi Mi Box S Mdz-22-ab - Negro - 8 Gb - 2 Gb - Control De Voz,541407353,49806.72,ARS,252,50,150,new,2022-09-30T20:43:33.000Z,2023-08-06T01:35:45.000Z,2022-09-30T20:43:33.000Z,2042-09-25T04:00:00.000Z
MLA1121605607,Google Chromecast With Google Tv De Voz 4k 8gb Sunrise Con 2gb De Memoria Ram,284824585,99999.0,ARS,1065,500,50,new,2022-02-01T20:23:15.000Z,2023-08-01T08:45:24.000Z,2022-02-01T20:23:14.000Z,2042-01-27T04:00:00.000Z
MLA1442110472,Tv Box Convertidor Smart 4k Netflix Youtube Android Mini Pc,84504653,22652.0,ARS,81,1,50,new,2023-07-03T18:41:24.000Z,2023-08-05T23:49:43.000Z,2023-07-03T18:41:24.000Z,2043-07-22T18:19:58.000Z
MLA1461857074,Xiaomi Stick 4k Mdz-27-aa Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,621229920,41700.0,ARS,16,1,5,new,2023-07-28T15:25:08.000Z,2023-08-05T23:34:54.000Z,2023-07-28T15:25:08.000Z,2043-07-23T04:00:00.000Z
MLA1199943621,Google Chromecast 3 Gen Smart Tv Hdmi Full Hd Usb Pcreg,666749750,32899.06,ARS,564,150,250,new,2022-10-18T19:03:22.000Z,2023-08-06T02:19:50.456Z,2022-10-18T19:03:22.000Z,2042-10-13T04:00:00.000Z
MLA1346257595,Chromecast Con Google Tv Full Hd Ga03131 8gb Control Remoto,499786196,37990.0,ARS,444,1,250,new,2023-02-14T20:56:57.000Z,2023-08-06T01:02:39.000Z,2023-02-14T20:56:57.000Z,2043-02-09T04:00:00.000Z
